step_id,timestamp,scene_path,a1_root_prim,base_frame,base_x,base_y,base_z,base_yaw,camera_prim_path,camera_x,camera_y,camera_z,camera_yaw,camera_pitch,camera_follows_base,rgb_available,rgb_nonzero_ratio,depth_available,depth_valid_ratio,camera_params_available,camera_intrinsics_available,camera_pointcloud_available,camera_pointcloud_source,camera_pointcloud_point_count,camera_pointcloud_finite_ratio,semantic_available,instance_available,lidar_available,lidar_point_count,lidar_finite_ratio,sensor_method,map_update_source,occupied_cells,known_free_cells,unknown_cells,known_cells,total_cells,known_ratio,new_known_cells,observed_count_sum,map_min_x,map_max_x,map_min_y,map_max_y,collision_flag,stuck_flag,falling_flag,failure_reason
0,1780913612.189,/home/ubuntu22/VLA/scenes/new_scene_building_scene_1_repaired/building_scene_1_repaired.usda,/World/A1,/World/A1/base,-0.0,-2.1994,0.5967,0.0,/World/RuntimeSensors/a1_front_rgbd_camera,0.3,-2.1994,0.8767,0.0,-0.2618,True,True,0.8342,True,0.8307,True,True,True,depth_backprojection,985,1.0,True,True,False,0,0.0,real_isaac_omniverse_rgbd,depth_backprojection_pointcloud,106,376,7618,482,8100,0.059506,482,20208,-4.5,4.5,-6.6994,2.3006,False,False,False,
1,1780913612.372,/home/ubuntu22/VLA/scenes/new_scene_building_scene_1_repaired/building_scene_1_repaired.usda,/World/A1,/World/A1/base,0.14,-2.1994,0.5967,0.0,/World/RuntimeSensors/a1_front_rgbd_camera,0.44,-2.1994,0.8767,0.0,-0.2618,True,True,0.8338,True,0.8302,True,True,True,depth_backprojection,984,1.0,True,True,False,0,0.0,real_isaac_omniverse_rgbd,depth_backprojection_pointcloud,106,382,7612,488,8100,0.060247,6,39064,-4.5,4.5,-6.6994,2.3006,False,False,False,
2,1780913612.57,/home/ubuntu22/VLA/scenes/new_scene_building_scene_1_repaired/building_scene_1_repaired.usda,/World/A1,/World/A1/base,0.2191,-2.1883,0.5967,0.1396,/World/RuntimeSensors/a1_front_rgbd_camera,0.5162,-2.1465,0.8767,0.1396,-0.2618,True,True,0.8673,True,0.8643,True,True,True,depth_backprojection,1032,1.0,True,True,False,0,0.0,real_isaac_omniverse_rgbd,depth_backprojection_pointcloud,137,440,7523,577,8100,0.071235,89,65219,-4.5,4.5,-6.6994,2.3006,False,False,False,
3,1780913612.811,/home/ubuntu22/VLA/scenes/new_scene_building_scene_1_repaired/building_scene_1_repaired.usda,/World/A1,/World/A1/base,0.3578,-2.1688,0.5967,0.1396,/World/RuntimeSensors/a1_front_rgbd_camera,0.6549,-2.127,0.8767,0.1396,-0.2618,True,True,0.8672,True,0.8641,True,True,True,depth_backprojection,1032,1.0,True,True,False,0,0.0,real_isaac_omniverse_rgbd,depth_backprojection_pointcloud,143,441,7516,584,8100,0.072099,7,89891,-4.5,4.5,-6.6994,2.3006,False,False,False,
4,1780913612.999,/home/ubuntu22/VLA/scenes/new_scene_building_scene_1_repaired/building_scene_1_repaired.usda,/World/A1,/World/A1/base,0.3863,-2.084,0.5967,0.1396,/World/RuntimeSensors/a1_front_rgbd_camera,0.6833,-2.0423,0.8767,0.1396,-0.2618,True,True,0.8687,True,0.8657,True,True,True,depth_backprojection,1032,1.0,True,True,False,0,0.0,real_isaac_omniverse_rgbd,depth_backprojection_pointcloud,148,441,7511,589,8100,0.072716,5,114623,-4.5,4.5,-6.6994,2.3006,False,False,False,
5,1780913613.188,/home/ubuntu22/VLA/scenes/new_scene_building_scene_1_repaired/building_scene_1_repaired.usda,/World/A1,/World/A1/base,0.5051,-2.0673,0.5967,0.1396,/World/RuntimeSensors/a1_front_rgbd_camera,0.8022,-2.0256,0.8767,0.1396,-0.2618,True,True,0.8686,True,0.8656,True,True,True,depth_backprojection,1032,1.0,True,True,False,0,0.0,real_isaac_omniverse_rgbd,depth_backprojection_pointcloud,149,442,7509,591,8100,0.072963,2,137902,-4.5,4.5,-6.6994,2.3006,False,False,False,
6,1780913613.563,/home/ubuntu22/VLA/scenes/new_scene_building_scene_1_repaired/building_scene_1_repaired.usda,/World/A1,/World/A1/base,0.5851,-2.0659,0.5967,0.0175,/World/RuntimeSensors/a1_front_rgbd_camera,0.8851,-2.0607,0.8767,0.0175,-0.2618,True,True,0.839,True,0.8356,True,True,True,depth_backprojection,992,1.0,True,True,False,0,0.0,real_isaac_omniverse_rgbd,depth_backprojection_pointcloud,149,443,7508,592,8100,0.073086,1,154192,-4.5,4.5,-6.6994,2.3006,False,False,False,
7,1780913613.735,/home/ubuntu22/VLA/scenes/new_scene_building_scene_1_repaired/building_scene_1_repaired.usda,/World/A1,/World/A1/base,0.7051,-2.0638,0.5967,0.0175,/World/RuntimeSensors/a1_front_rgbd_camera,1.0051,-2.0586,0.8767,0.0175,-0.2618,True,True,0.8387,True,0.8351,True,True,True,depth_backprojection,992,1.0,True,True,False,0,0.0,real_isaac_omniverse_rgbd,depth_backprojection_pointcloud,149,446,7505,595,8100,0.073457,3,168622,-4.5,4.5,-6.6994,2.3006,False,False,False,
8,1780913613.909,/home/ubuntu22/VLA/scenes/new_scene_building_scene_1_repaired/building_scene_1_repaired.usda,/World/A1,/World/A1/base,0.7465,-2.1431,0.5967,0.0175,/World/RuntimeSensors/a1_front_rgbd_camera,1.0465,-2.1379,0.8767,0.0175,-0.2618,True,True,0.8368,True,0.8333,True,True,True,depth_backprojection,992,1.0,True,True,False,0,0.0,real_isaac_omniverse_rgbd,depth_backprojection_pointcloud,149,462,7489,611,8100,0.075432,16,182349,-4.5,4.5,-6.6994,2.3006,False,False,False,
9,1780913614.115,/home/ubuntu22/VLA/scenes/new_scene_building_scene_1_repaired/building_scene_1_repaired.usda,/World/A1,/World/A1/base,0.8465,-2.1414,0.5967,0.0175,/World/RuntimeSensors/a1_front_rgbd_camera,1.1465,-2.1361,0.8767,0.0175,-0.2618,True,True,0.8364,True,0.8329,True,True,True,depth_backprojection,992,1.0,True,True,False,0,0.0,real_isaac_omniverse_rgbd,depth_backprojection_pointcloud,149,468,7483,617,8100,0.076173,6,194626,-4.5,4.5,-6.6994,2.3006,False,False,False,
