start_id,planned_start_x,planned_start_y,planned_start_z,planned_start_yaw,action_count,failure_count,final_known_ratio,known_ratio_gain,stop_reason
0,-0.0,-2.1994,0.5967,0.0,20,0,0.482656,0.482656,
1,0.45,-2.1994,0.5967,0.25,20,0,0.415312,0.415312,
2,-0.45,-2.1994,0.5967,-0.25,20,0,0.444688,0.444688,
3,-0.0,-1.7494,0.5967,0.5,20,0,0.384375,0.384375,
4,-0.0,-2.6494,0.5967,-0.5,20,0,0.40375,0.40375,
5,0.65,-1.8494,0.5967,0.75,20,0,0.34625,0.34625,
6,-0.65,-1.8494,0.5967,-0.75,20,0,0.377812,0.377812,
7,0.65,-2.5494,0.5967,1.0,20,0,0.425,0.425,
8,-0.65,-2.5494,0.5967,-1.0,20,0,0.416406,0.416406,
9,-0.0,-1.3994,0.5967,1.25,20,0,0.390625,0.390625,
